,title,vote_count,vote_average,year,imdb_id,soup
21,Copycat,199.0,6.5,1995,tt0112722,policebrut psycholog policeoper policeprotect serialkil psychologist cowardli sigourneyweaver hollyhunter willpatton jonamiel jonamiel jonamiel Drama Thriller
22,Assassins,394.0,6.0,1995,tt0112401,competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner richarddonner richarddonner Action Adventure Crime Thriller
23,Powder,143.0,6.3,1995,tt0114168,deadanim shottodeath teenageboy heldatgunpoint teacherstudentrelationship albino faint psionicpow healingpow extrasensorypercept marysteenburgen seanpatrickflanery lancehenriksen victorsalva victorsalva victorsalva Drama Fantasy Science Fiction Thriller
24,Leaving Las Vegas,365.0,7.1,1995,tt0113627,individu prostitut alcohol casino loveatfirstsight lovesick filmproduc screenwrit hotelroom dyinganddeath rageandh unsoci alcohol losangel alcoholabus attemptedsuicid nicolascage elisabethshue juliansands mikefiggis mikefiggis mikefiggis Drama Romance
25,Othello,33.0,7.0,1995,tt0114057,shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker oliverparker oliverparker Drama
26,Now and Then,91.0,6.6,1995,tt0114011,1970s femalefriendship comingofag gynecologist womandirector christinaricci rosieo'donnell thorabirch leslilinkaglatter leslilinkaglatter leslilinkaglatter Comedy Drama Family
27,Persuasion,36.0,7.4,1995,tt0114117,captain napoleonicwar oldflam amandaroot ciaránhinds susanfleetwood rogermichell rogermichell rogermichell Drama Romance
28,The City of Lost Children,308.0,7.6,1995,tt0112682,clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet jean-pierrejeunet jean-pierrejeunet Fantasy Science Fiction Adventure
29,Shanghai Triad,17.0,6.5,1995,tt0115012,servant cabaret shanghai diva uncl mistress umbrella gongli libao-tian wangxiaoxiao zhangyimou zhangyimou zhangyimou Drama Crime
30,Dangerous Minds,249.0,6.4,1995,tt0112792,rapmus karat highschool navaloffic teacher amusementpark michellepfeiffer georgedzundza courtneyb.vance johnn.smith johnn.smith johnn.smith Drama Crime
31,Twelve Monkeys,2470.0,7.4,1995,tt0114746,schizophrenia philadelphia timetravel post-apocalypt dystopia lethalvirus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam terrygilliam terrygilliam Science Fiction Thriller Mystery
33,Babe,756.0,6.0,1995,tt0112431,sheep pig affect piglet talkinganim separ germanshepherd talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan chrisnoonan chrisnoonan Fantasy Drama Comedy Family
34,Carrington,16.0,6.4,1995,tt0112637,england painter conscientiousobjector independentfilm soldier emmathompson jonathanpryce stevenwaddington christopherhampton christopherhampton christopherhampton History Drama Romance
35,Dead Man Walking,350.0,7.3,1995,tt0112818,prison rape sociallydeprivedfamili penalti deathpenalti despair deathrow begnadigung therapist self-discoveri prisoncel courtcas deathsent doomedman sentenc lethalinject forgiv chariti rageandh unsoci rightandjustic court electricchair cowardli susansarandon seanpenn robertprosky timrobbins timrobbins timrobbins Drama
36,Across the Sea of Time,2.0,3.5,1995,tt0112286,peterreznick johnmcdonough avihoffman stephenlow stephenlow stephenlow Adventure History Drama Family
37,It Takes Two,149.0,6.1,1995,tt0113442,orphan identicaltwin kirstiealley steveguttenberg ashleyolsen andytennant andytennant andytennant Comedy Family Romance
38,Clueless,828.0,6.9,1995,tt0112697,puberti highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy amyheckerling amyheckerling amyheckerling Comedy Drama Romance
39,"Cry, the Beloved Country",13.0,6.7,1995,tt0112749,southafrica jamesearljones charless.dutton jackrobinson darrelljamesroodt darrelljamesroodt darrelljamesroodt Drama
40,Richard III,50.0,6.9,1995,tt0114279,england shakespear kidnap murder king ianmckellen annettebening jimbroadbent richardloncraine richardloncraine richardloncraine Drama War
41,Dead Presidents,80.0,6.6,1995,tt0112819,money lossofvirgin armoredtruck larenztate keithdavid christucker alberthughes alberthughes alberthughes Action Crime Drama History
42,Restoration,30.0,6.3,1995,tt0114272,jealousi medicin fountain court wealth glove robertdowneyjr. megryan samneill michaelhoffman michaelhoffman michaelhoffman Drama Romance
43,Mortal Kombat,452.0,5.4,1995,tt0113855,martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Fantasy
44,To Die For,177.0,6.7,1995,tt0114681,adulteri winter obsess televis newhampshir nicolekidman mattdillon joaquinphoenix gusvansant gusvansant gusvansant Fantasy Drama Comedy Thriller
45,How To Make An American Quilt,38.0,6.5,1995,tt0113347,weddingvow marriagepropos marriedcoupl advic marriag love familyholiday extramaritalaffair grandmoth womandirector winonaryder annebancroft ellenburstyn jocelynmoorhouse jocelynmoorhouse jocelynmoorhouse Drama Romance
46,Se7en,5915.0,8.1,1995,tt0114369,self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan insomnia investig pension polic serialkil bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher davidfincher Crime Mystery Thriller
47,Pocahontas,1509.0,6.7,1995,tt0114148,cultureclash settler forbiddenlov coloni music goldrush princess romanc nativeamerican anim virginia starcrossedlov crossculturalrelationship musket basedonmythsorfolklor 17thcenturi song animalsidekick irenebedard melgibson davidogdenstiers mikegabriel mikegabriel mikegabriel Adventure Animation Drama Family
48,When Night Is Falling,10.0,5.9,1995,tt0114916,professor lgbt womandirector pascalebussières rachaelcrawford henryczerny patriciarozema patriciarozema patriciarozema Drama Romance
49,The Usual Suspects,3334.0,8.1,1995,tt0114814,law relat theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger bryansinger bryansinger Drama Crime Thriller
51,Mighty Aphrodite,145.0,6.7,1995,tt0113819,prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen woodyallen woodyallen Comedy Romance
52,Lamerica,11.0,7.7,1994,tt0110299,independentfilm enricoloverso micheleplacido piromilkani gianniamelio gianniamelio gianniamelio Drama Foreign
53,The Big Green,41.0,5.2,1995,tt0112499,sport kidsandfamili soccer womandirector steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan hollygoldbergsloan hollygoldbergsloan Action Adventure Comedy Family
54,Georgia,15.0,6.1,1995,tt0113158,alcohol artist music drug band jenniferjasonleigh marewinningham tedlevine ulugrosbard ulugrosbard ulugrosbard Drama
56,Home for the Holidays,39.0,6.3,1995,tt0113321,baltimor thanksgiv familyclan familyconflict womandirector hollyhunter robertdowneyjr. annebancroft jodiefoster jodiefoster jodiefoster Comedy Drama Romance
57,The Postman,181.0,7.6,1994,tt0110877,island letter postman fisherman poet philippenoiret massimotroisi mariagraziacucinotta michaelradford michaelradford michaelradford Comedy Drama Romance
58,The Confessional,2.0,6.5,1995,tt0112714,lothairebluteau patrickgoyette jean-louismillette robertlepage robertlepage robertlepage Thriller Drama Mystery
59,The Indian in the Cupboard,136.0,5.9,1995,tt0113419,cupboard game puppet parallelworld toycomestolif halscardino litefoot lindsaycrouse frankoz frankoz frankoz Adventure Family Fantasy
60,Eye for an Eye,65.0,5.8,1996,tt0116260,rape gun self-defens sallyfield kiefersutherland edharris johnschlesinger johnschlesinger johnschlesinger Drama Thriller
61,Mr. Holland's Opus,115.0,6.9,1995,tt0113862,compos mentor deaf-mut music apprentic privatelif music disabl richarddreyfuss glenneheadly jaythomas stephenherek stephenherek stephenherek Music Drama Family
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2,1996,tt0116126,date slang hip-hop cousin parodi hood gang socialsatir racism gangster shawnwayans marlonwayans traceycherellejones parisbarclay parisbarclay parisbarclay Comedy
63,Two If by Sea,14.0,4.5,1996,tt0118002,island paint thief seasick sandrabullock denisleary yaphetkotto billbennett billbennett billbennett Comedy Romance
64,Bio-Dome,110.0,4.4,1996,tt0115683,biotop vegetarian pollut paulyshore stephenbaldwin joeylaurenadams jasonbloom jasonbloom jasonbloom Comedy
65,Lawnmower Man 2: Beyond Cyberspace,32.0,2.8,1996,tt0116839,hacker virtualr comput swordfight patrickbergin mattfrewer austino'brien farhadmann farhadmann farhadmann Action Science Fiction
67,French Twist,43.0,6.0,1995,tt0113149,lovetriangl southernfr estateag menageatroi van womandirector victoriaabril josianebalasko alainchabat josianebalasko josianebalasko josianebalasko Comedy Romance
68,Friday,513.0,7.0,1995,tt0113118,rapmus parentchildrelationship rapper job icecube christucker nialong f.garygray f.garygray f.garygray Comedy
69,From Dusk Till Dawn,1644.0,6.9,1996,tt0116367,danc brotherbrotherrelationship sexualobsess showdown sheriff erotic nuditi bankrobb vampir holywat sieg stripper priest explos extremeviol bankrobberi preacher hostagesitu crucifix recreationalvehicl bloodspurt conveniencestor femalevampir georgeclooney quentintarantino harveykeitel robertrodriguez robertrodriguez robertrodriguez Horror Action Thriller Crime
70,Fair Game,54.0,4.1,1995,tt0113010,bomb miami sex detect handcuff basedonnovel hostag fbi kidnap russian kgb chase sadism parkinggarag pizza policeprotect psychopath remak carcrash conspiraci ontherun fugit shootout gunfight sadist footchas policedetect policest carchas heldatgunpoint fbiag doublecross cultfilm computerhack machinegun swatteam grenadelaunch underwaterscen rogueag damselindistress williambaldwin cindycrawford stevenberkoff andrewsipes andrewsipes andrewsipes Action Thriller Romance
71,Kicking and Screaming,36.0,7.0,1995,tt0113537,colleg joshhamilton oliviad'abo carlosjacott noahbaumbach noahbaumbach noahbaumbach Comedy Drama Romance
72,Les Miserables,8.0,6.6,1995,tt0113828,pari nun boxer lawyer jewish jean-paulbelmondo michelboujenah alessandramartines claudelelouch claudelelouch claudelelouch Drama History
73,Bed of Roses,27.0,5.1,1996,tt0115644,florist familyrelationship christianslater marystuartmasterson pamelaadlon michaelgoldenberg michaelgoldenberg michaelgoldenberg Drama Romance
75,Screamers,154.0,6.1,1995,tt0114367,manvsmachin alienplanet struggleforsurviv peterweller roydupuis jenniferrubin christianduguay christianduguay christianduguay Horror Science Fiction
76,Nico Icon,3.0,7.3,1995,tt0113973,nico tinaaumont jacksonbrowne susanneofteringer susanneofteringer susanneofteringer Documentary
77,The Crossing Guard,74.0,6.1,1995,tt0112744,lossofdaught reveng suspens independentfilm tragedi jacknicholson davidmorse anjelicahuston seanpenn seanpenn seanpenn Drama Thriller
78,The Juror,91.0,5.5,1996,tt0116731,juror blackmail courtcas son trial courtroom demimoore alecbaldwin josephgordon-levitt briangibson briangibson briangibson Drama Thriller
79,The White Balloon,20.0,7.5,1995,tt0112445,fish money celebr aidamohammadkhani mohsenkafili fereshtehsadreorafaiy jafarpanahi jafarpanahi jafarpanahi Family Drama
80,Things to Do in Denver When You're Dead,87.0,6.7,1995,tt0114660,fathersonrelationship bountyhunt boat wayoflif coffin denver godmoth paranoia hitman friendship psychopath reveng murder independentfilm mafia diner blood gangster violenc illegalprostitut extramaritalaffair andygarcía christopherlloyd williamforsythe garyfleder garyfleder garyfleder Drama Crime
81,Antonia's Line,26.0,7.2,1995,tt0112379,suicid underdog freelov philosophi rape mentallydis lossofmoth villagelif worldwarii femin indiansummer familyhistori widow peasant villag mathemat freedom rightandjustic singl homosexu motherdaughterrelationship domesticviol univers womandirector willekevanammelrooy elsdottermans doravandergroen marleengorris marleengorris marleengorris Drama Comedy
82,Once Upon a Time... When We Were Colored,2.0,4.5,1996,tt0114039,"racialsegreg familyrelationship ruralset africanamerican alfreeman,jr. phyliciarashād paulakelly timreid timreid timreid Romance Drama"
83,Last Summer in the Hamptons,0.0,0.0,1995,tt0113612,victoriafoyt vivecalindfors jonrobinbaitz henryjaglom henryjaglom henryjaglom
84,Angels and Insects,17.0,6.3,1995,tt0112365,classsocieti richwoman-poorman scientist naturalist insect markrylance kristinscottthomas patsykensit philiphaas philiphaas philiphaas Drama Romance
85,White Squall,86.0,6.3,1996,tt0118158,sailingtrip diari sail surviv comingofag teenageboy disciplin shipcaptain caribbean malebond seasick stormatsea 1960s jeffbridges carolinegoodall johnsavage ridleyscott ridleyscott ridleyscott Action Drama
86,Dunston Checks In,59.0,5.1,1996,tt0116151,boss fistfight bulli orangutan jasonalexander fayedunaway ericlloyd kenkwapis kenkwapis kenkwapis Adventure Comedy Family
87,Black Sheep,124.0,6.0,1996,tt0115697,doubleact politicalsatir crookedpolitician womandirector chrisfarley davidspade grantheslov penelopespheeris penelopespheeris penelopespheeris Comedy
88,Nick of Time,190.0,6.1,1995,tt0113972,assassin trainstat polit losangel johnnydepp courtneychase charless.dutton johnbadham johnbadham johnbadham Crime Drama Thriller
90,Mary Reilly,77.0,5.7,1996,tt0117002,servant monster laboratori jekyllandhyd 19thcenturi juliaroberts johnmalkovich georgecole stephenfrears stephenfrears stephenfrears Drama Horror Thriller Romance
91,Vampire in Brooklyn,113.0,4.5,1995,tt0114825,vampir halfvampir eddiemurphy angelabassett allenpayne wescraven wescraven wescraven Comedy Horror Romance
92,Beautiful Girls,103.0,6.6,1996,tt0115639,hometown mattdillon noahemmerich annabethgish teddemme teddemme teddemme Comedy Drama Romance
93,Broken Arrow,459.0,5.7,1996,tt0115759,helicopt river captain underground mexicanstandoff countdown pilot fistfight canyon major betray gunfight train explos desert militari box abandonedmin johntravolta christianslater samanthamathis johnwoo johnwoo johnwoo Action Adventure Drama Thriller
94,A Midwinter's Tale,6.0,7.5,1995,tt0113403,play hamlet christma actor richardbriers joancollins michaelmaloney kennethbranagh kennethbranagh kennethbranagh Comedy
95,La Haine,695.0,7.9,1995,tt0113247,pari neo-nazi skinhead robberi policebrut hip-hop gun sociallydeprivedfamili breakdanc arabian boredom reveng suburb violenc policeoffic unemploy captur xenophobia vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz mathieukassovitz mathieukassovitz Drama
96,Shopping,13.0,5.6,1994,tt0111173,sadiefrost judelaw seanpertwee paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Adventure Drama Science Fiction Thriller
97,Heidi Fleiss: Hollywood Madam,4.0,6.8,1995,tt0113283,narrat hollywood prostitut nickbroomfield heidifleiss madamalex nickbroomfield nickbroomfield nickbroomfield Documentary
98,City Hall,67.0,6.0,1996,tt0115907,corrupt undercov warondrug mayor drugdeal presidentialelect undercoverag investig polic drug alpacino johncusack bridgetfonda haroldbecker haroldbecker haroldbecker Drama Thriller
99,Bottle Rocket,285.0,6.8,1996,tt0115734,brotherbrotherrelationship robberi burglar languagebarri motel independentfilm psychiatrichospit maid theft nervousbreakdown escapad lukewilson owenwilson lumicavazos wesanderson wesanderson wesanderson Comedy Crime Drama
100,Mr. Wrong,16.0,3.3,1996,tt0117102,ellendegeneres billpullman joancusack nickcastle nickcastle nickcastle Comedy Romance
101,Unforgettable,22.0,5.3,1996,tt0118040,wifehusbandrelationship experi polic murder suspens memori forens gunman animalexperiment rayliotta lindafiorentino petercoyote johndahl johndahl johndahl Drama Mystery Science Fiction Thriller
102,Happy Gilmore,767.0,6.5,1996,tt0116483,lossofmoth lossoffath golf sport tax adamsandler benstiller christophermcdonald dennisdugan dennisdugan dennisdugan Comedy
103,The Bridges of Madison County,397.0,7.3,1995,tt0112579,farewel adulteri loveatfirstsight photograph wifehusbandrelationship iowa loveofone'slif motherrol bridg housewif lovelett peasant marriagecrisi photographi unsoci secretlov merylstreep clinteastwood anniecorley clinteastwood clinteastwood clinteastwood Drama Romance
105,Muppet Treasure Island,93.0,6.5,1996,tt0117110,island pirategang puppet treasurehunt timcurry kevinbishop jennifersaunders brianhenson brianhenson brianhenson Action Comedy Music Family Adventure
106,Catwalk,2.0,7.0,1995,tt0112646,christyturlington azzedinealaïa giorgioarmani robertleacock robertleacock robertleacock Documentary
108,Braveheart,3404.0,7.7,1995,tt0112573,individu scotland inlovewithenemi legend independ ideal revolt tyranni melgibson catherinemccormack sophiemarceau melgibson melgibson melgibson Action Drama History War
109,Taxi Driver,2632.0,8.1,1976,tt0075314,vietnamveteran taxi obsess drugdeal nightshift vigilant alien misanthrop shottodeath illegalprostitut loner robertdeniro cybillshepherd harveykeitel martinscorsese martinscorsese martinscorsese Crime Drama
110,Rumble in the Bronx,245.0,6.5,1995,tt0113326,newyork martialart supermarket gangwar gang wed diamond bronx duringcreditssting jackiechan anitamui françoiseyip stanleytong stanleytong stanleytong Crime Action Comedy Thriller
111,Before and After,37.0,5.8,1996,tt0115645,merylstreep liamneeson edwardfurlong barbetschroeder barbetschroeder barbetschroeder Drama Thriller
112,Margaret's Museum,2.0,7.5,1995,tt0113774,mine dancelesson coalmin bagpip helenabonhamcarter cliverussell craigolejnik mortransen mortransen mortransen Drama
114,Anne Frank Remembered,4.0,7.3,1995,tt0112373,fascism auschwitz typhus victim interview prejudic burglari rabbit kennethbranagh glennclose jonblair jonblair jonblair Documentary Drama Foreign
115,The Young Poisoner's Handbook,19.0,6.9,1995,tt0115033,londonengland poison basedontruestori murder serialkil mentalinstitut teenag psychiatrist tobiasarnold ruthsheen rogerlloydpack benjaminross benjaminross benjaminross Comedy Crime Drama
116,If Lucy Fell,11.0,5.4,1996,tt0116606,roommat singl love independentfilm bestfriend brooklynbridg sarahjessicaparker ellemacpherson scarlettjohansson ericschaeffer ericschaeffer ericschaeffer Comedy Romance
117,Steal Big Steal Little,7.0,5.1,1995,tt0114536,brotherbrotherrelationship twinbroth lawyer estat andygarcía alanarkin rachelticotin andrewdavis andrewdavis andrewdavis Comedy Drama
119,The Boys of St. Vincent,7.0,7.0,1992,tt0106473,henryczerny johnnymorina briandooley johnn.smith johnn.smith johnn.smith Drama
120,Boomerang,139.0,5.4,1992,tt0103859,roleofwomen ladykil success ladies'man casanova woman eddiemurphy robingivens halleberry reginaldhudlin reginaldhudlin reginaldhudlin Comedy Romance
121,Chungking Express,249.0,7.9,1994,tt0109424,ex-girlfriend drugsmuggl girlfriend snackbar romanc hongkong flightattend brigittelin tonyleungchiu-wai fayewong wongkar-wai wongkar-wai wongkar-wai Drama Comedy Romance
122,The Star Maker,29.0,6.8,1995,tt0114808,sergiocastellitto tizianalodato francoscaldati giuseppetornatore giuseppetornatore giuseppetornatore Drama Romance
123,Flirting with Disaster,66.0,6.3,1996,tt0116324,lsd lookingforbirthpar half-broth independentfilm benstiller patriciaarquette téaleoni davido.russell davido.russell davido.russell Comedy Romance
124,The Neverending Story III: Escape from Fantasia,105.0,4.4,1994,tt0110647,fli magic jasonjamesrichter melodykay kevinmcnulty petermacdonald petermacdonald petermacdonald Fantasy
127,Pie in the Sky,2.0,7.0,1996,tt0114131,joshcharles anneheche johngoodman bryangordon bryangordon bryangordon Comedy Romance
128,Angela,9.0,5.6,1995,tt0112364,independentfilm womandirector mirandarhyne charlotteeveblythe annalevine rebeccamiller rebeccamiller rebeccamiller Comedy Drama
129,Frankie Starlight,4.0,5.4,1995,tt0113107,boy writer ireland flashback mattdillon corbanwalker gabrielbyrne michaellindsay-hogg michaellindsay-hogg michaellindsay-hogg Drama Romance War
130,Jade,45.0,5.1,1995,tt0113451,callgirl sanfrancisco investig murder davidcaruso lindafiorentino chazzpalminteri williamfriedkin williamfriedkin williamfriedkin Action Thriller Mystery Romance
133,Down Periscope,110.0,5.6,1996,tt0116130,submarin u.s.navi misfit kelseygrammer laurenholly robschneider davids.ward davids.ward davids.ward Comedy
135,Man of the Year,2.0,3.8,1995,tt0113756,homosexu independentfilm mockumentari dirkshafer marystein claudettesutherland dirkshafer dirkshafer dirkshafer Comedy
138,Up Close & Personal,51.0,5.9,1996,tt0118055,skabundertv foran nederstehyld robertredford michellepfeiffer stockardchanning jonavnet jonavnet jonavnet Drama Romance
139,The Birdcage,303.0,6.7,1996,tt0115685,gay dragqueen homophobia florida comingout senat politician lgbt crossdress 1990s robinwilliams genehackman nathanlane mikenichols mikenichols mikenichols Comedy
141,The Brothers McMullen,23.0,6.3,1995,tt0112585,love independentfilm bestfriend truelov irishcathol sharialbert maxinebahns catharinebolz edwardburns edwardburns edwardburns Comedy Drama Romance
142,Bad Boys,1729.0,6.5,1995,tt0112442,miami detect handcuff airport mexicanstandoff stripclub witnessprotect carcrash internalaffair gunfight explos brutal footchas carchas druglord actionhero corruptcop willsmith martinlawrence téaleoni michaelbay michaelbay michaelbay Action Comedy Crime Thriller
143,The Amazing Panda Adventure,31.0,5.0,1995,tt0112342,china panda poacher stephenlang ryanslater yiding christophercain christophercain christophercain Action Adventure Drama Family
144,The Basketball Diaries,472.0,7.2,1995,tt0112461,sport basketbal addict friend drug leonardodicaprio lorrainebracco jamesmadio scottkalvert scottkalvert scottkalvert Drama Crime
145,An Awfully Big Adventure,11.0,6.0,1995,tt0112427,england basedonnovel 1940s alanrickman hughgrant georginacates mikenewell mikenewell mikenewell Romance Drama Comedy
146,Amateur,21.0,6.5,1994,tt0109093,independentfilm isabellehuppert martindonovan elinalöwensohn halhartley halhartley halhartley Crime Comedy Drama Thriller
147,Apollo 13,1637.0,7.3,1995,tt0112384,moon florida nasa spaceman raceagainsttim basedontruestori space rescu surviv disast explos astronaut imax courag tomhanks billpaxton kevinbacon ronhoward ronhoward ronhoward Drama
148,Rob Roy,151.0,6.5,1995,tt0114287,scotland biographi 18thcenturi liamneeson jessicalange johnhurt michaelcaton-jones michaelcaton-jones michaelcaton-jones Adventure
149,The Addiction,46.0,6.4,1995,tt0112288,newyork philosophi vampir blood student violenc lilitaylor christopherwalken annabellasciorra abelferrara abelferrara abelferrara Drama Horror
150,Batman Forever,1529.0,5.2,1995,tt0112462,riddl dccomic rose gothamc partner superhero robin brokenneck psychologist violenc crimin districtattorney millionair tiedup tommygun knockedout superpow disfigur fatherfigur valkilmer tommyleejones jimcarrey joelschumacher joelschumacher joelschumacher Action Crime Fantasy
151,Belle de Jour,163.0,7.3,1967,tt0061395,prostitut adulteri doublelif dualident jealousi wifehusbandrelationship brothel dream women'ssexualident fantasi masoch independentfilm catherinedeneuve michelpiccoli jeansorel luisbuñuel luisbuñuel luisbuñuel Drama Romance
152,Beyond Rangoon,21.0,6.4,1995,tt0112495,burma doctor patriciaarquette francesmcdormand uaungko johnboorman johnboorman johnboorman Drama Thriller
153,Blue in the Face,28.0,6.8,1995,tt0112541,smoke cornershop cigarett tobacco cigar independentfilm harveykeitel loureed michaelj.fox paulauster paulauster paulauster Comedy
154,Canadian Bacon,57.0,5.9,1995,tt0109370,johncandy alanalda rheaperlman michaelmoore michaelmoore michaelmoore Action Comedy
155,Casper,1045.0,6.0,1995,tt0112642,halloween friendship supernatur afterlif friend danger ghost disord younghero imaginari supernatural christinaricci billpullman cathymoriarty bradsilberling bradsilberling bradsilberling Fantasy Comedy Family
156,Clockers,69.0,6.8,1995,tt0112688,drugpush train drug druglord harveykeitel johnturturro delroylindo spikelee spikelee spikelee Mystery Crime Drama
157,Congo,214.0,5.0,1995,tt0112715,gorilla kongo diamondmin diamond lauralinney dylanwalsh erniehudson frankmarshall frankmarshall frankmarshall Action Adventure Drama Mystery Science Fiction Thriller
158,Crimson Tide,508.0,7.0,1995,tt0112740,submarin mutini russia missil nuclearmissil embassi u.s.navi battleforpow torpedo militari moraldilemma aircraftcarri denzelwashington genehackman mattcraven tonyscott tonyscott tonyscott Action Thriller Drama
159,Crumb,71.0,7.6,1994,tt0109508,underground biographi art robertcrumb alinekominsky charlescrumb terryzwigoff terryzwigoff terryzwigoff Documentary
